,release_year,Adult,Kids,Older Kids,Teens,Movie,TV Show,show_duration,movie_duration
585,2021,1,0,0,0,1,0,0,92
586,2020,0,0,0,1,1,0,0,94
587,2020,1,0,0,0,1,0,0,99
588,2021,1,0,0,0,0,1,1,0
589,2021,0,0,0,1,1,0,0,97
590,2021,0,0,0,1,1,0,0,151
591,2021,1,0,0,0,1,0,0,108
592,2020,0,0,0,1,1,0,0,113
593,2021,1,0,0,0,1,0,0,81
594,2020,0,0,0,1,1,0,0,116
595,2013,1,0,0,0,1,0,0,119
596,2013,0,0,0,1,1,0,0,116
597,2021,0,0,0,1,1,0,0,112
598,2014,0,0,0,1,1,0,0,121
599,2020,0,0,0,1,1,0,0,115
600,2021,1,0,0,0,1,0,0,98
601,1990,0,0,0,1,1,0,0,181
602,2018,0,0,0,1,1,0,0,100
603,2019,0,1,0,0,1,0,0,22
604,1988,1,0,0,0,1,0,0,134
605,2006,1,0,0,0,1,0,0,94
606,2021,0,0,1,0,1,0,0,88
607,2016,1,0,0,0,1,0,0,119
608,2021,1,0,0,0,1,0,0,107
609,2006,1,0,0,0,1,0,0,112
610,2015,1,0,0,0,1,0,0,103
611,2011,1,0,0,0,1,0,0,90
612,2021,1,0,0,0,1,0,0,120
613,2008,1,0,0,0,1,0,0,97
614,2014,1,0,0,0,1,0,0,102
615,2021,0,0,1,0,1,0,0,106
616,2020,0,0,0,1,1,0,0,119
617,2021,0,1,0,0,1,0,0,58
618,2021,0,0,0,1,1,0,0,143
619,2013,1,0,0,0,1,0,0,112
620,2016,1,0,0,0,1,0,0,134
621,2020,1,0,0,0,1,0,0,123
622,2018,0,0,0,1,1,0,0,123
623,2021,1,0,0,0,1,0,0,118
624,2020,0,0,0,1,1,0,0,91
625,2021,1,0,0,0,0,1,1,0
626,2019,1,0,0,0,1,0,0,97
627,2018,0,0,0,1,1,0,0,85
628,2021,0,0,1,0,1,0,0,139
629,2002,0,0,0,1,1,0,0,162
630,2017,0,0,1,0,1,0,0,92
631,2018,0,0,0,1,1,0,0,86
632,2021,0,0,0,1,1,0,0,107
633,2020,1,0,0,0,1,0,0,85
634,2021,1,0,0,0,1,0,0,83
635,2019,1,0,0,0,1,0,0,104
636,2021,0,0,0,1,1,0,0,116
637,2021,0,0,1,0,1,0,0,87
638,2018,0,0,0,1,1,0,0,91
639,2020,0,0,0,1,1,0,0,119
640,2012,1,0,0,0,1,0,0,102
641,2021,1,0,0,0,1,0,0,86
642,2021,0,0,0,1,1,0,0,102
643,2008,1,0,0,0,1,0,0,98
644,2021,1,0,0,0,1,0,0,99
645,2019,0,0,1,0,1,0,0,108
646,2016,1,0,0,0,1,0,0,114
647,2020,0,0,0,1,1,0,0,104
648,2017,1,0,0,0,1,0,0,88
649,2017,0,0,1,0,1,0,0,104
650,2020,0,0,0,1,1,0,0,123
651,2021,1,0,0,0,1,0,0,106
652,2021,1,0,0,0,1,0,0,138
653,2020,1,0,0,0,1,0,0,107
654,2021,0,0,0,1,1,0,0,133
655,2020,1,0,0,0,1,0,0,97
